replicate,design,method,condition_number,n_components,distance
0,ccd,pls,3.590690643133159,6.0,0.07708822073591755
0,ccd,ols,3.590690643133159,,0.0770882207359236
0,correlated,pls,284.3086724044824,5.0,1.1670587504127732
0,correlated,ols,284.3086724044824,,1.6256040587504474
1,ccd,pls,3.590690643133159,5.0,0.07676864493017116
1,ccd,ols,3.590690643133159,,0.07676864493016892
1,correlated,pls,749.5846105989895,5.0,0.5080721405858921
1,correlated,ols,749.5846105989895,,1.1349387162159779
2,ccd,pls,3.590690643133159,4.0,0.08430876230789246
2,ccd,ols,3.590690643133159,,0.0843087623078907
2,correlated,pls,219.06158297445222,8.0,0.5383245919380911
2,correlated,ols,219.06158297445222,,0.5591346760464958
3,ccd,pls,3.590690643133159,5.0,0.10380821160032491
3,ccd,ols,3.590690643133159,,0.1038082116003248
3,correlated,pls,342.83203763452957,4.0,2.1475180205213733
3,correlated,ols,342.83203763452957,,7.820146642888093
4,ccd,pls,3.590690643133159,5.0,0.06841274137029532
4,ccd,ols,3.590690643133159,,0.06841274137029464
4,correlated,pls,294.66944449844175,4.0,0.7110320502538913
4,correlated,ols,294.66944449844175,,1.9809582269398716
5,ccd,pls,3.590690643133159,6.0,0.1306854253324649
5,ccd,ols,3.590690643133159,,0.13068542533246724
5,correlated,pls,258.53032026687123,6.0,0.5104962192816586
5,correlated,ols,258.53032026687123,,1.231719100885628
6,ccd,pls,3.590690643133159,4.0,0.05355003819817467
6,ccd,ols,3.590690643133159,,0.05355003819817709
6,correlated,pls,202.95660678695268,7.0,1.118313032482477
6,correlated,ols,202.95660678695268,,1.081678670101141
7,ccd,pls,3.590690643133159,7.0,0.10799373972901502
7,ccd,ols,3.590690643133159,,0.10799373972903
7,correlated,pls,309.2056514637651,6.0,0.4193080371135156
7,correlated,ols,309.2056514637651,,1.0120063338753755
8,ccd,pls,3.590690643133159,9.0,0.07262140159755674
8,ccd,ols,3.590690643133159,,0.07262140167463346
8,correlated,pls,439.47676776004323,3.0,0.44185710816403045
8,correlated,ols,439.47676776004323,,5.025245345518235
9,ccd,pls,3.590690643133159,6.0,0.1269020322213465
9,ccd,ols,3.590690643133159,,0.12690203222134344
9,correlated,pls,343.92906561644537,7.0,0.5673262275320919
9,correlated,ols,343.92906561644537,,1.8165602240700969
10,ccd,pls,3.590690643133159,4.0,0.13425939943787266
10,ccd,ols,3.590690643133159,,0.1342593994378827
10,correlated,pls,371.01026042954237,5.0,12.211618097896062
10,correlated,ols,371.01026042954237,,1.8805189866482936
11,ccd,pls,3.590690643133159,5.0,0.11440125261217654
11,ccd,ols,3.590690643133159,,0.11440125261218112
11,correlated,pls,191.07999958110562,5.0,1.5563928986403472
11,correlated,ols,191.07999958110562,,1.6009783858522564
12,ccd,pls,3.590690643133159,5.0,0.14972732054077476
12,ccd,ols,3.590690643133159,,0.14972732054076113
12,correlated,pls,456.44993288938696,6.0,5.731570616641355
12,correlated,ols,456.44993288938696,,9.687995518664492
13,ccd,pls,3.590690643133159,6.0,0.3041335703033043
13,ccd,ols,3.590690643133159,,0.30413357030329036
13,correlated,pls,342.36076030789974,4.0,0.7435920031210811
13,correlated,ols,342.36076030789974,,1.386283477403455
14,ccd,pls,3.590690643133159,8.0,0.12015727289636359
14,ccd,ols,3.590690643133159,,0.12015727289636328
14,correlated,pls,597.4077941266064,5.0,1.0110215578488932
14,correlated,ols,597.4077941266064,,1.0961451143084802
15,ccd,pls,3.590690643133159,6.0,0.15869086382416117
15,ccd,ols,3.590690643133159,,0.158690863824159
15,correlated,pls,244.9252461962035,7.0,0.6347775766777839
15,correlated,ols,244.9252461962035,,0.6619320644784936
16,ccd,pls,3.590690643133159,4.0,0.09763639335063064
16,ccd,ols,3.590690643133159,,0.097636393350631
16,correlated,pls,1808.120212798799,2.0,1.376925174945918
16,correlated,ols,1808.120212798799,,1.3198590330251279
17,ccd,pls,3.590690643133159,5.0,0.34458173178205664
17,ccd,ols,3.590690643133159,,0.34458173178206086
17,correlated,pls,415.1495078453562,3.0,1.0010651989235295
17,correlated,ols,415.1495078453562,,1.7246745972255704
18,ccd,pls,3.590690643133159,4.0,0.0951662243108894
18,ccd,ols,3.590690643133159,,0.09516622431088691
18,correlated,pls,306.1086903568347,7.0,1.3431186588471793
18,correlated,ols,306.1086903568347,,0.9113587496537893
19,ccd,pls,3.590690643133159,4.0,0.19237704776530093
19,ccd,ols,3.590690643133159,,0.19237704776529527
19,correlated,pls,580.9802013421724,8.0,1.874868707174854
19,correlated,ols,580.9802013421724,,1.6919470747268313
20,ccd,pls,3.590690643133159,7.0,0.03236470187044143
20,ccd,ols,3.590690643133159,,0.03236470187044596
20,correlated,pls,267.46108929717036,2.0,1.4249275008424915
20,correlated,ols,267.46108929717036,,1.4133983922296807
21,ccd,pls,3.590690643133159,4.0,0.05491785416582172
21,ccd,ols,3.590690643133159,,0.05491785416581267
21,correlated,pls,465.81463356152017,4.0,1.3337018749128435
21,correlated,ols,465.81463356152017,,1.1900472635632773
22,ccd,pls,3.590690643133159,9.0,0.057032727910230445
22,ccd,ols,3.590690643133159,,0.05703272790930768
22,correlated,pls,246.0853285679331,4.0,1.1655902821444766
22,correlated,ols,246.0853285679331,,0.7138005263111223
23,ccd,pls,3.590690643133159,8.0,0.2550121319164017
23,ccd,ols,3.590690643133159,,0.2550121319162772
23,correlated,pls,350.5396983919236,3.0,0.7486258996243803
23,correlated,ols,350.5396983919236,,0.49502724679109594
24,ccd,pls,3.590690643133159,5.0,0.09146808995955347
24,ccd,ols,3.590690643133159,,0.09146808995955612
24,correlated,pls,198.72929260945023,8.0,1.1381184242405222
24,correlated,ols,198.72929260945023,,1.229848924501766
25,ccd,pls,3.590690643133159,5.0,0.07955149383494159
25,ccd,ols,3.590690643133159,,0.0795514938349451
25,correlated,pls,148.3764669048397,4.0,5.422622022201278
25,correlated,ols,148.3764669048397,,1.7100592639918653
26,ccd,pls,3.590690643133159,5.0,0.10635585654057574
26,ccd,ols,3.590690643133159,,0.10635585654056491
26,correlated,pls,407.5493478426832,4.0,12.56682129680849
26,correlated,ols,407.5493478426832,,1.6054294001762663
27,ccd,pls,3.590690643133159,5.0,0.22554568462140404
27,ccd,ols,3.590690643133159,,0.2255456846214051
27,correlated,pls,250.7196502228199,3.0,0.8857744368189372
27,correlated,ols,250.7196502228199,,0.8754231162671402
28,ccd,pls,3.590690643133159,6.0,0.09460089994919278
28,ccd,ols,3.590690643133159,,0.09460089994918562
28,correlated,pls,195.529459919785,9.0,1.6109640930896019
28,correlated,ols,195.529459919785,,1.61096409309032
29,ccd,pls,3.590690643133159,5.0,0.09567957985846788
29,ccd,ols,3.590690643133159,,0.09567957985845787
29,correlated,pls,301.3649204310027,7.0,23.16319560462843
29,correlated,ols,301.3649204310027,,2.644503683999627
30,ccd,pls,3.590690643133159,5.0,0.1480103441392956
30,ccd,ols,3.590690643133159,,0.14801034413930142
30,correlated,pls,444.35414233689505,5.0,0.43303579256338476
30,correlated,ols,444.35414233689505,,1.4632899610829457
31,ccd,pls,3.590690643133159,9.0,0.10508009344691396
31,ccd,ols,3.590690643133159,,0.10508009344690626
31,correlated,pls,434.2103839332152,5.0,1.1771645491816871
31,correlated,ols,434.2103839332152,,0.8366560749953971
32,ccd,pls,3.590690643133159,5.0,0.14949646387950302
32,ccd,ols,3.590690643133159,,0.1494964638795045
32,correlated,pls,407.02420965684263,7.0,10.101036046225182
32,correlated,ols,407.02420965684263,,3.115579282866723
33,ccd,pls,3.590690643133159,6.0,0.12986821217304423
33,ccd,ols,3.590690643133159,,0.1298682121730503
33,correlated,pls,441.68480737812564,6.0,1.1940629291378413
33,correlated,ols,441.68480737812564,,1.2264135256963415
34,ccd,pls,3.590690643133159,5.0,0.1406631703445432
34,ccd,ols,3.590690643133159,,0.14066317034455547
34,correlated,pls,218.3352329837648,4.0,0.407319750888217
34,correlated,ols,218.3352329837648,,0.9854526046976317
35,ccd,pls,3.590690643133159,7.0,0.05101578315556678
35,ccd,ols,3.590690643133159,,0.05101578315555973
35,correlated,pls,234.76680329739224,5.0,1.0805733383751857
35,correlated,ols,234.76680329739224,,0.5214599738004542
36,ccd,pls,3.590690643133159,7.0,0.02582350064997778
36,ccd,ols,3.590690643133159,,0.025823500649974834
36,correlated,pls,498.99599596927743,7.0,0.8419675913548843
36,correlated,ols,498.99599596927743,,1.2668663148799804
37,ccd,pls,3.590690643133159,6.0,0.09071240041695841
37,ccd,ols,3.590690643133159,,0.09071240041694931
37,correlated,pls,215.7975097781252,9.0,0.8466308040032715
37,correlated,ols,215.7975097781252,,0.8466308040026176
38,ccd,pls,3.590690643133159,5.0,0.023850939889027666
38,ccd,ols,3.590690643133159,,0.023850939889017077
38,correlated,pls,326.08170728347,5.0,2.87770965054988
38,correlated,ols,326.08170728347,,1.5366331759778389
39,ccd,pls,3.590690643133159,6.0,0.14049643188692026
39,ccd,ols,3.590690643133159,,0.1404964318869216
39,correlated,pls,240.66115707274426,4.0,0.9452647985506611
39,correlated,ols,240.66115707274426,,0.554028276011888
40,ccd,pls,3.590690643133159,8.0,0.1962596132604772
40,ccd,ols,3.590690643133159,,0.19625961326048674
40,correlated,pls,298.6509320317534,6.0,1.5441595234769412
40,correlated,ols,298.6509320317534,,6.661942255655786
41,ccd,pls,3.590690643133159,6.0,0.19056073160695522
41,ccd,ols,3.590690643133159,,0.1905607316069695
41,correlated,pls,230.73037901451133,5.0,0.7275675957980764
41,correlated,ols,230.73037901451133,,2.1094711271641238
42,ccd,pls,3.590690643133159,3.0,0.09566116362161264
42,ccd,ols,3.590690643133159,,0.09566116362162885
42,correlated,pls,733.0471776620689,6.0,14.014720259174158
42,correlated,ols,733.0471776620689,,2.033262169558769
43,ccd,pls,3.590690643133159,7.0,0.07542872173179088
43,ccd,ols,3.590690643133159,,0.07542872173181123
43,correlated,pls,483.69605588700756,5.0,2.4183137622379833
43,correlated,ols,483.69605588700756,,1.623428632041899
44,ccd,pls,3.590690643133159,9.0,0.2960218312482099
44,ccd,ols,3.590690643133159,,0.29602183126672826
44,correlated,pls,222.52881297668335,2.0,1.344606194722303
44,correlated,ols,222.52881297668335,,1.6042197249679297
45,ccd,pls,3.590690643133159,5.0,0.05245155997102946
45,ccd,ols,3.590690643133159,,0.05245155997101442
45,correlated,pls,83.49394225903981,6.0,1.0350358955765186
45,correlated,ols,83.49394225903981,,6.848160283438579
46,ccd,pls,3.590690643133159,5.0,0.05215768845746645
46,ccd,ols,3.590690643133159,,0.0521576884574632
46,correlated,pls,228.67448371906477,5.0,1.616168364755191
46,correlated,ols,228.67448371906477,,1.2161695887954946
47,ccd,pls,3.590690643133159,6.0,0.05495108469600061
47,ccd,ols,3.590690643133159,,0.054951084696002975
47,correlated,pls,233.92142543765482,5.0,2.8595726993927304
47,correlated,ols,233.92142543765482,,2.0793035638376547
48,ccd,pls,3.590690643133159,7.0,0.20132285016056004
48,ccd,ols,3.590690643133159,,0.20132285016057228
48,correlated,pls,220.11731214742338,2.0,1.3740160615470691
48,correlated,ols,220.11731214742338,,1.968480026783675
