degrees_of_freedom,upper_0.1,upper_0.05,upper_0.01
1,2.70554345409542,3.8414588206941285,6.634896601021217
2,4.605170185988092,5.991464547107983,9.210340371976182
3,6.2513886311703235,7.814727903251178,11.344866730144368
4,7.779440339734858,9.487729036781158,13.276704135987625
5,9.236356899781116,11.070497693516355,15.086272469388991
6,10.64464067566842,12.59158724374398,16.811893829770927
7,12.01703662378053,14.067140449340167,18.475306906582365
8,13.361566136511728,15.507313055865454,20.090235029663233
9,14.683656573259837,16.91897760462045,21.665994333461928
10,15.987179172105261,18.30703805327515,23.20925115895436
15,22.307129581578696,24.99579013972863,30.577914166892494
20,28.411980584305635,31.41043284423092,37.566234786625046
30,40.2560237387118,43.77297182574217,50.892181311517085
