n,c4,B3,B4,A3
2,0.7978845608028655,0.0,3.2665319192886,2.6586807763582736
3,0.8862269254527579,0.0,2.5681696026311904,1.95441004761168
4,0.9213177319235614,0.0,2.266047078850368,1.628102822756102
5,0.9399856029866253,0.0,2.0889978686302837,1.4272992929222166
6,0.9515328619481446,0.0303632094959706,1.9696367905040293,1.2871282962146753
7,0.959368788699833,0.11768503154142917,1.8823149684585707,1.1819161019031794
8,0.9650304561473718,0.18508959775964218,1.8149104022403577,1.09909502339877
9,0.9693106997139541,0.23913280180494678,1.7608671981950532,1.03166095277304
10,0.972659274121588,0.2837055564420098,1.7162944435579903,0.9753500771452294
15,0.9823161771626505,0.42819954220140233,1.5718004577985978,0.7885410901802005
20,0.9869342675246553,0.510230589401996,1.489769410598004,0.6797011871240741
25,0.9896403755857031,0.5647857094848774,1.4352142905151226,0.6062808418107432
