n,c4,B3,B4,A3,cv_s
2,0.7978845608028655,0.0,3.2665319192886,2.6586807763582736,0.7555106397628666
3,0.8862269254527579,0.0,2.5681696026311904,1.95441004761168,0.5227232008770635
4,0.9213177319235613,0.0,2.2660470788503693,1.6281028227561023,0.4220156929501231
5,0.9399856029866253,0.0,2.0889978686302837,1.4272992929222166,0.3629992895434279
6,0.9515328619481445,0.030363209495969268,1.9696367905040306,1.2871282962146755,0.3232122635013436
8,0.9650304561473718,0.18508959775964218,1.8149104022403577,1.09909502339877,0.2716368007467859
10,0.9726592741215883,0.2837055564420128,1.7162944435579872,0.9753500771452293,0.23876481451932904
15,0.9823161771626508,0.4281995422014079,1.571800457798592,0.7885410901802001,0.1906001525995307
20,0.9869342675246547,0.5102305894019852,1.4897694105980148,0.6797011871240746,0.16325647019933828
25,0.9896403755857051,0.5647857094849194,1.4352142905150806,0.6062808418107418,0.14507143017169355
