panel,order,theoretical_quantile,value,highlighted
full,1,-1.7393841569195563,0.0134,False
full,2,-1.2450462387740626,0.0134,False
full,3,-0.94577708618932,0.0134,False
full,4,-0.7137046409102611,0.0134,False
full,5,-0.5149937648895112,0.0134,False
full,6,-0.33489417272961575,0.0159,False
full,7,-0.16511628036201545,0.022,False
full,8,0.0,0.0232,False
full,9,0.1651162803620153,0.0232,False
full,10,0.33489417272961586,0.0232,False
full,11,0.5149937648895112,0.0232,False
full,12,0.713704640910261,0.0232,False
full,13,0.94577708618932,0.0293,False
full,14,1.2450462387740626,0.0403,False
full,15,1.7393841569195554,0.6532,True
without_extreme,1,-1.70755309355966,0.0134,False
without_extreme,2,-1.2053449195375296,0.0134,False
without_extreme,3,-0.899434907667234,0.0134,False
without_extreme,4,-0.6607511271402553,0.0134,False
without_extreme,5,-0.45498114030642833,0.0134,False
without_extreme,6,-0.26699412540495254,0.0159,False
without_extreme,7,-0.08806556972409457,0.022,False
without_extreme,8,0.08806556972409457,0.0232,False
without_extreme,9,0.26699412540495254,0.0232,False
without_extreme,10,0.45498114030642833,0.0232,False
without_extreme,11,0.6607511271402553,0.0232,False
without_extreme,12,0.899434907667234,0.0232,False
without_extreme,13,1.205344919537529,0.0293,False
without_extreme,14,1.70755309355966,0.0403,False
log10,1,-1.7393841569195563,-1.8728952016351923,False
log10,2,-1.2450462387740626,-1.8728952016351923,False
log10,3,-0.94577708618932,-1.8728952016351923,False
log10,4,-0.7137046409102611,-1.8728952016351923,False
log10,5,-0.5149937648895112,-1.8728952016351923,False
log10,6,-0.33489417272961575,-1.7986028756795485,False
log10,7,-0.16511628036201545,-1.6575773191777938,False
log10,8,0.0,-1.6345120151091004,False
log10,9,0.1651162803620153,-1.6345120151091004,False
log10,10,0.33489417272961586,-1.6345120151091004,False
log10,11,0.5149937648895112,-1.6345120151091004,False
log10,12,0.713704640910261,-1.6345120151091004,False
log10,13,0.94577708618932,-1.5331323796458904,False
log10,14,1.2450462387740626,-1.3946949538588904,False
log10,15,1.7393841569195554,-0.18495382393536944,True
