step,position,value,mean,deviation,statistic,critical,exceeds
1,53,6.01,2.320740740740741,1.1828696348397214,3.1189060489824416,3.1587939408874943,False
2,52,5.42,2.2511320754716984,1.0767573478118286,2.9429731136435064,3.1514300233160126,False
3,51,5.34,2.1901923076923078,0.9906850281687452,3.179423936717836,3.143889685031995,True
4,50,4.64,2.12843137254902,0.893739050392271,2.81018114442759,3.1361649560577938,False
5,0,-0.25,2.0782000000000003,0.8268990264838869,2.8155795634442775,3.128247334330998,False
6,49,4.3,2.1257142857142854,0.7633970133554361,2.848171627930343,3.120127738314815,False
7,48,3.68,2.080416666666667,0.7017787683567465,2.2793270549903433,3.1117964542899896,False
8,47,3.59,2.0463829787234045,0.6681266006428621,2.3103660590543,3.10324307760228,False
9,1,0.68,2.012826086956522,0.6342017311146291,2.101580651024145,3.09445644702339,False
10,46,3.3,2.0424444444444445,0.6083440845874358,2.0671780780253646,3.0854245712431028,False
