size,ceiling
2,0.7071067811865475
3,1.1547005383792517
4,1.5
5,1.7888543819998317
6,2.041241452319315
7,2.2677868380553634
8,2.4748737341529163
9,2.6666666666666665
10,2.846049894151541
11,3.015113445777636
12,3.1754264805429417
13,3.328201177351375
14,3.474396144861517
15,3.6147844564602556
16,3.75
17,3.8805700005813275
18,4.00693842672377
19,4.129483209670111
20,4.2485291572496005
21,4.364357804719848
22,4.477215043467819
23,4.587317109255645
24,4.694855340334425
25,4.8
26,4.902903378454601
27,5.003702332976757
28,5.102520385624567
29,5.199469468957452
30,5.294651389216606
31,5.388159060803248
32,5.480077554195743
33,5.570484990582331
34,5.6594533097027915
35,5.747048932153913
36,5.833333333333333
37,5.9183635429928625
38,6.002192581838214
39,6.084869844593311
40,6.16644143732834
41,6.246950475544243
42,6.3264373484457685
43,6.4049399539693965
44,6.482493908421918
45,6.559132733999383
46,6.634888026970371
47,6.70978960890315
48,6.783865662978103
49,6.857142857142857
50,6.929646455628165
51,7.001400420140048
52,7.072427501871672
53,7.142749325331829
54,7.21238646486158
55,7.281358514603014
56,7.349684152591671
57,7.417381199564245
58,7.484466673004185
59,7.550956836887785
60,7.616867247541253
