position,value,classical_z,flagged
0,0.0232,-0.2429418070093463,False
1,0.0232,-0.2429418070093463,False
2,0.0232,-0.2429418070093463,False
3,0.022,-0.2502826707430516,False
4,0.0232,-0.2429418070093463,False
5,0.0232,-0.2429418070093463,False
6,0.6532,3.611011653185925,True
7,0.0403,-0.13833449880404605,False
8,0.0293,-0.20562574969634445,False
9,0.0159,-0.2875987280560534,False
10,0.0134,-0.3028921941679394,False
11,0.0134,-0.3028921941679394,False
12,0.0134,-0.3028921941679394,False
13,0.0134,-0.3028921941679394,False
14,0.0134,-0.3028921941679394,False
