position,value,flagged
0,-0.25,False
1,0.68,False
2,0.94,False
3,1.15,False
4,1.2,False
5,1.26,False
6,1.26,False
7,1.34,False
8,1.38,False
9,1.43,False
10,1.49,False
11,1.49,False
12,1.55,False
13,1.56,False
14,1.58,False
15,1.65,False
16,1.69,False
17,1.7,False
18,1.76,False
19,1.77,False
20,1.81,False
21,1.91,False
22,1.94,False
23,1.96,False
24,1.99,False
25,2.06,False
26,2.09,False
27,2.1,False
28,2.14,False
29,2.15,False
30,2.23,False
31,2.24,False
32,2.26,False
33,2.35,False
34,2.37,False
35,2.4,False
36,2.47,False
37,2.54,False
38,2.62,False
39,2.64,False
40,2.9,False
41,2.92,False
42,2.92,False
43,2.93,False
44,3.21,False
45,3.26,False
46,3.3,False
47,3.59,False
48,3.68,False
49,4.3,False
50,4.64,False
51,5.34,True
52,5.42,True
53,6.01,True
