wafer_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
wf0001,601.823,589.343,598.167,600.917,584.92,599.902,597.688,578.708,599.101,598.69,598.097,612.513,592.089
wf0002,587.207,582.11,588.993,595.018,595.321,593.673,612.882,601.506,592.83,587.715,595.532,590.954,586.636
wf0003,589.363,602.265,581.53,592.587,591.447,607.799,597.444,598.297,594.559,593.796,597.365,590.843,577.262
wf0004,617.529,597.299,595.069,611.828,601.306,607.774,613.865,607.042,613.373,596.189,596.57,609.429,598.377
wf0005,599.709,601.904,610.136,598.103,607.539,611.942,603.186,604.066,597.177,610.376,597.271,592.2,605.276
wf0006,580.452,590.843,591.132,588.779,587.434,590.395,576.204,578.407,586.631,598.032,597.95,603.848,586.808
wf0007,613.195,606.436,614.027,602.399,608.091,609.088,608.699,604.684,602.235,624.42,619.651,619.456,626.854
wf0008,596.637,604.834,599.367,611.302,595.772,597.584,612.731,605.08,586.051,593.82,600.714,610.592,590.614
wf0009,581.614,558.852,557.595,581.565,569.723,567.897,576.43,567.465,582.73,564.325,569.089,571.178,573.756
wf0010,644.053,653.766,646.814,635.843,652.139,651.105,650.659,652.963,643.097,649.056,644.968,665.228,653.55
wf0011,643.458,639.754,654.004,635.224,639.247,636.288,628.589,633.518,626.623,647.934,647.516,632.381,645.314
wf0012,595.598,591.928,587.385,586.147,586.295,597.997,598.62,602.501,589.719,590.448,587.557,596.557,598.732
wf0013,610.191,598.687,587.696,617.997,598.501,602.41,616.383,612.377,605.432,604.876,602.01,595.503,608.43
wf0014,611.312,610.788,608.372,619.562,616.49,621.184,582.811,598.393,621.329,623.164,614.913,607.837,610.827
wf0015,528.322,467.843,536.674,567.305,569.04,507.441,547.946,560.903,520.967,567.85,498.946,535.519,546.331
wf0016,554.819,552.904,553.811,556.976,568.244,558.015,559.347,553.975,559.978,573.924,549.398,559.772,564.559
wf0017,588.489,595.914,598.296,595.299,598.22,585.5,593.812,589.889,595.733,602.354,608.821,593.624,582.178
wf0018,615.019,606.995,608.989,602.426,614.336,620.791,607.343,606.912,597.64,616.476,622.136,620.503,613.416
wf0019,578.592,584.234,582.812,576.686,573.358,578.16,572.284,592.578,588.392,564.393,588.099,574.283,570.711
wf0020,591.247,599.467,593.637,589.804,597.917,603.356,587.076,602.28,585.705,579.545,605.049,604.003,605.586
wf0021,602.677,608.941,617.03,595.755,612.883,603.308,595.615,590.614,590.456,604.949,606.222,619.184,617.056
wf0022,614.018,597.201,584.203,599.699,598.495,616.795,596.397,600.129,603.731,603.247,612.421,595.696,619.193
wf0023,594.124,595.995,587.045,599.21,600.919,597.296,584.548,591.384,583.53,586.099,596.151,578.782,579.692
wf0024,629.709,625.651,644.702,626.508,634.651,628.148,621.565,656.375,636.288,635.937,633.529,642.126,647.914
wf0025,453.374,475.651,549.666,472.183,516.478,444.451,485.933,498.218,480.344,449.49,545.283,497.289,525.503
wf0026,606.002,623.575,632.957,610.817,619.371,617.14,623.598,623.766,629.678,616.27,630.066,638.463,604.478
wf0027,598.958,606.439,604.885,616.925,596.514,616.711,602.635,613.8,585.103,610.821,605.747,606.211,607.42
wf0028,620.492,614.823,624.726,611.687,619.407,612.957,627.654,628.726,604.796,599.779,593.095,614.707,598.193
wf0029,578.73,624.695,597.228,533.852,645.419,615.662,609.341,585.35,560.047,613.696,637.983,602.307,573.962
wf0030,643.736,634.825,650.306,634.622,635.25,639.444,627.755,641.811,634.434,626.87,640.898,643.566,638.443
wf0031,622.401,618.313,607.664,626.285,614.66,618.037,596.545,601.986,623.253,630.414,620.041,611.1,635.998
wf0032,600.75,604.237,602.542,589.783,592.216,606.6,588.245,602.083,586.8,596.948,590.691,604.529,599.0
wf0033,632.048,617.142,636.099,623.827,618.763,626.172,633.724,635.35,619.794,623.815,628.359,627.549,630.96
wf0034,684.488,656.725,660.152,656.133,659.121,669.314,664.667,651.572,673.339,664.924,682.525,672.82,661.396
