wafer_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
wf0001,626.357,611.919,619.013,606.996,621.326,623.491,622.925,619.74,621.13,610.751,611.302,611.17,607.917
wf0002,623.532,613.525,641.064,613.174,623.587,620.641,621.669,617.421,620.031,615.528,615.28,612.703,609.779
wf0003,622.733,618.065,627.692,612.296,620.475,622.249,626.481,623.494,627.963,612.474,616.581,609.814,611.51
wf0004,617.443,608.85,616.897,610.968,622.114,620.173,620.721,617.842,615.07,611.291,605.051,605.841,597.37
wf0005,600.697,594.33,581.328,597.615,603.031,598.225,600.884,598.123,594.804,582.792,585.162,587.282,581.586
wf0006,572.399,565.758,541.273,567.12,571.824,567.518,568.971,566.457,566.514,551.512,551.045,550.407,549.362
wf0007,657.532,650.09,629.12,648.317,660.09,625.233,624.433,621.07,620.056,613.75,612.42,609.12,607.939
wf0008,647.269,633.255,622.791,630.917,644.306,625.048,626.175,618.887,618.04,608.257,613.731,609.766,604.422
wf0009,642.157,631.747,619.605,627.514,644.294,624.944,624.264,624.653,621.256,612.837,609.889,609.469,608.35
wf0010,613.125,612.327,618.637,608.819,614.632,621.618,623.835,622.046,618.097,610.041,610.849,610.365,603.151
wf0011,717.104,702.209,692.89,702.467,712.342,601.368,596.976,596.822,593.646,598.802,599.44,596.838,594.606
wf0012,550.338,547.254,612.779,543.424,546.062,592.304,595.229,595.09,591.629,596.13,593.286,595.736,593.582
wf0013,637.417,620.547,642.53,621.719,632.944,622.903,625.448,620.478,619.43,615.721,613.974,615.934,610.834
wf0014,483.499,471.543,501.242,475.524,484.676,508.351,510.28,511.36,506.073,503.08,503.175,504.139,498.589
wf0015,614.585,606.722,631.735,602.457,621.929,619.125,613.346,615.006,611.444,605.403,610.27,613.059,603.393
wf0016,618.292,600.578,626.27,605.161,611.834,621.312,624.538,619.369,616.592,614.754,616.561,610.826,609.591
wf0017,619.3,606.95,617.245,600.336,613.782,623.579,625.535,623.721,618.67,613.735,616.839,608.859,607.362
wf0018,601.828,595.342,598.713,596.108,610.447,610.038,610.65,613.391,612.454,599.07,600.237,604.616,602.539
wf0019,594.279,575.644,568.903,580.16,590.819,596.334,593.864,592.863,592.339,581.436,582.392,580.276,579.68
wf0020,646.792,638.891,630.766,640.381,656.544,621.037,625.06,623.5,625.503,615.61,621.172,619.578,615.176
wf0021,642.948,633.106,630.264,626.558,642.662,622.147,630.929,623.344,623.274,621.021,616.598,617.062,607.073
wf0022,636.637,623.899,629.064,618.261,630.232,626.177,628.867,625.505,621.95,619.125,618.198,611.423,612.641
wf0023,605.658,598.481,620.591,597.853,611.87,613.166,623.171,618.842,618.93,610.533,607.386,615.969,610.768
wf0024,617.567,609.804,617.315,610.451,615.227,620.444,627.101,621.359,621.507,614.195,617.063,611.332,607.232
wf0025,651.436,634.055,644.038,638.751,646.771,617.651,613.977,609.962,605.17,605.165,605.808,605.447,602.365
wf0026,627.384,614.824,576.714,618.288,625.903,601.009,598.213,597.419,597.563,590.471,583.623,585.675,579.147
wf0027,602.453,593.801,623.522,591.532,601.58,613.223,606.805,600.289,604.143,606.739,601.951,599.674,600.471
wf0028,589.47,583.717,579.529,584.813,597.006,599.45,603.957,604.757,598.648,592.486,587.228,591.283,586.058
wf0029,626.154,616.239,631.72,616.901,626.628,610.929,612.351,610.726,611.399,612.093,607.805,606.957,602.754
wf0030,611.215,602.275,580.463,596.893,612.941,602.606,608.434,599.839,597.231,589.692,582.543,592.855,585.106
wf0031,646.518,638.067,626.671,638.918,651.051,622.753,622.86,621.731,617.537,609.528,615.78,613.551,609.698
wf0032,601.616,599.445,613.006,599.046,604.467,612.097,623.831,616.757,614.26,615.29,608.47,609.442,602.269
wf0033,609.338,603.518,618.954,606.458,613.212,615.579,620.383,615.721,617.239,612.4,608.099,606.738,608.251
wf0034,613.518,601.666,613.789,605.694,614.773,615.178,622.263,617.813,618.902,613.608,610.811,610.398,609.285
wf0035,613.901,604.258,614.343,607.63,614.62,617.567,621.487,620.689,614.113,612.403,602.911,610.285,608.553
wf0036,614.097,605.701,615.257,600.856,616.926,617.973,622.954,620.099,619.693,614.456,608.218,609.533,608.965
wf0037,615.007,603.745,627.439,614.017,612.517,606.905,610.335,610.406,608.777,609.266,608.269,608.313,606.359
wf0038,612.748,604.873,605.327,602.819,609.813,619.905,619.323,622.542,619.388,612.854,613.485,608.767,607.85
wf0039,587.264,585.646,569.118,581.868,591.291,596.16,600.294,591.669,592.642,582.596,580.987,584.211,578.225
wf0040,551.617,542.743,521.336,546.17,554.938,551.833,553.744,552.352,551.572,536.671,537.33,540.586,537.065
wf0041,712.529,691.636,668.97,692.485,710.287,603.386,600.446,594.095,593.899,603.083,600.217,599.479,602.504
wf0042,692.27,667.871,653.365,672.592,686.232,620.676,617.795,620.021,617.305,617.276,618.707,613.566,618.81
