n,sigma_within,sigma_between
2,7.2986658163473885,0.0
3,7.012202779477556,0.0
4,7.085665413308684,2.1779153238906215
5,7.275412964047872,10.945642546421988
6,7.883354773646778,23.108163533136107
7,10.116594726346554,23.1215951276531
8,10.550491055074414,22.10566035143199
9,10.671273693727418,21.161291655311313
10,10.304272566668898,19.974624352604962
11,19.285638818557715,20.192568969822073
12,19.75792301896898,21.346892606993702
13,19.159808320072855,20.695339642119173
14,18.81157442465274,36.55473086935243
15,18.293348506642246,35.29982176213073
16,17.808389949373368,34.20326815724273
17,17.372867142244584,33.20242413962647
18,16.950699264543044,32.20864490176602
19,16.6153742501842,31.636166648193264
20,16.44320751420258,31.276930530406464
21,16.19936274432869,30.796697981662106
22,15.901996918259824,30.25827541363143
23,15.640510258796494,29.57258242289169
24,15.35406020397631,28.97369241586587
25,15.49206117661559,28.475624702597752
26,15.559362963022899,27.93723252402456
27,15.348731826362327,27.405048645259008
28,15.148090324974621,27.05415653268227
29,14.968714840586008,26.59819161246576
30,14.843859527833429,26.201049418042
31,14.809710448759487,25.963023319934308
32,14.63740422804728,25.538884740745075
33,14.443765228348163,25.144880611922968
34,14.260743437092689,24.773135721362856
35,14.088539196002166,24.415214684980977
36,13.932438360040894,24.076843935999104
37,13.776579821341889,23.741608462464793
38,13.634076802621586,23.424422389556568
39,13.522669891363742,23.386218792639593
40,13.440913693210492,25.17667656691097
41,15.364022569087812,25.20362273151575
42,15.869174432701875,25.3624154416943
43,15.816172310689435,25.3482571093205
44,15.676549949310544,25.186618708138393
45,15.567174651029953,24.90294484640863
46,15.502687768843495,24.619693536172104
47,15.633225796938321,24.49086323824578
48,15.993573295592359,24.610736604377873
49,15.872514817346898,24.350983688106886
50,15.752272408970402,24.108638424333687
51,15.633068347955405,23.877963367625934
52,15.522293663484264,23.665171229940494
53,15.398427318281268,23.43520307555335
54,15.34696882058659,23.40083628879116
55,15.25341099120674,23.291632270833286
56,15.144015802598393,23.13689299499759
57,15.0551054118599,22.92743839803553
58,14.945472134124506,22.749034961584094
59,14.84938267272325,22.575665390575125
60,14.7599744339195,22.40786774642924
61,14.815634790698848,22.281226281845196
62,14.773207627773894,22.249845359035273
63,14.697497400309766,22.08624642961793
64,14.642907032313328,21.91146120906251
65,14.582167203400493,21.7379756801672
66,14.499527716928782,21.618245343371697
67,14.46448537552972,21.636548416474067
68,14.407499104025783,21.473691719552352
69,14.327166397880909,21.367052369110915
70,14.251480167281743,21.215601594526603
71,14.1804791501349,21.111658382056596
72,14.11013519737162,21.015112364266074
73,14.045173064790468,20.90768811546962
74,13.979376305905555,20.79246785962035
75,13.911952624438289,20.67896545309093
76,13.84610831144016,20.543272640063712
77,13.791205849521745,20.43667362891986
78,13.741070534296119,20.3325357541467
79,13.684528135660479,20.20137351246219
80,13.625359506466197,20.317393718432562
81,13.7171118674628,20.41601167111695
82,13.705402100038278,20.41324699982126
83,13.669071531130767,20.346034791092464
84,13.613095394371916,20.260354539139467
85,13.551395222107637,20.191983302369735
86,13.498812658921375,20.11623287302184
87,13.438757789116147,20.041995469028784
88,13.384742753831585,19.945548388656473
89,13.33746767767985,19.86026562939285
90,13.306824628315594,19.770832019140766
91,13.270485418366633,19.69071550032212
92,13.23051018040947,19.58637173027288
93,13.182447326376186,19.48918066972045
94,13.13895920395429,19.396467458110365
95,13.10026213261341,19.292137900143974
96,13.053229863997077,19.23264967050478
97,13.129562079101383,19.21480002234592
98,13.143073452596642,19.15110675639502
99,13.110704328758048,19.06624929088776
100,13.075371872679039,18.979700089228547
101,13.030050857043554,18.91442142848839
102,13.09662069151642,18.81745881532939
103,13.067988379739429,18.735721003629877
104,13.073604502465404,18.689504055350007
105,13.071676195768966,18.598956453195886
106,13.072036162611514,18.68871397779936
107,13.024591423752662,18.671114677595316
108,12.987888958201582,18.697317671532222
109,12.952166697246376,18.60934065725914
110,12.93810459308685,18.549135288406525
111,12.918931877407044,18.51826041976814
112,12.900484424274634,18.519173832354227
113,12.871044960305534,18.472790440351133
114,12.941018490306867,18.506934998376455
115,12.973113789289565,18.49931081814338
116,12.96085481407358,18.45261977003654
117,12.943743418631904,18.38828265176716
118,12.910592614498384,18.42441353328852
119,12.893830149616942,18.407292293746494
120,12.859786038491048,18.328862278172995
121,12.834845412821771,18.286104884639347
122,12.824886892625532,18.314716633503355
123,12.812091833904908,18.352972580183675
124,12.78425272924155,18.277042491337916
125,13.285532067548,18.456145966443554
126,13.470755953520205,18.5442971044707
127,13.49322324523051,18.531517452865874
128,13.46442615699903,18.48016896746426
129,13.44020360157978,18.414322548098696
130,13.439624015591857,18.372872568148626
131,13.48186605855532,18.495366124856805
132,13.62089344691281,18.82517942910819
133,13.591646071978277,18.90941251974555
134,13.557491160607068,18.83928417463557
135,13.52609158945147,18.770658559364918
136,13.909917271202744,18.708042670406208
137,13.969595654369682,23.270821746978246
138,14.05336516038762,23.868046991788972
139,14.205520029353796,23.85500026241455
140,14.183786411415396,23.805143984164328
141,14.157217429375299,23.75269654365883
142,14.503237619361476,23.9517389232089
143,14.689182275015945,23.9482869450783
144,14.65308865144665,23.91906052534273
145,14.616191315994904,23.859066533563578
146,14.580393858624682,23.796714198550273
147,14.547655128744905,23.715311834824526
