wafer_id,site,site_value
wf0001,S1,589.396
wf0001,S2,595.174
wf0001,S3,606.677
wf0001,S4,581.274
wf0001,S5,585.805
wf0001,S6,589.495
wf0001,S7,595.802
wf0001,S8,588.817
wf0001,S9,599.327
wf0001,S10,597.024
wf0001,S11,594.485
wf0001,S12,588.255
wf0001,S13,596.797
wf0002,S1,607.029
wf0002,S2,604.269
wf0002,S3,588.589
wf0002,S4,588.836
wf0002,S5,607.445
wf0002,S6,598.745
wf0002,S7,592.122
wf0002,S8,595.112
wf0002,S9,599.289
wf0002,S10,605.467
wf0002,S11,595.323
wf0002,S12,600.513
wf0002,S13,596.57
wf0003,S1,595.319
wf0003,S2,589.758
wf0003,S3,594.013
wf0003,S4,606.208
wf0003,S5,611.642
wf0003,S6,588.103
wf0003,S7,598.19
wf0003,S8,609.125
wf0003,S9,596.826
wf0003,S10,600.148
wf0003,S11,596.826
wf0003,S12,615.431
wf0003,S13,591.272
wf0004,S1,606.989
wf0004,S2,624.609
wf0004,S3,614.678
wf0004,S4,605.685
wf0004,S5,621.393
wf0004,S6,611.811
wf0004,S7,619.192
wf0004,S8,619.512
wf0004,S9,610.539
wf0004,S10,606.776
wf0004,S11,606.007
wf0004,S12,593.063
wf0004,S13,615.742
wf0005,S1,594.507
wf0005,S2,606.515
wf0005,S3,597.204
wf0005,S4,585.33
wf0005,S5,593.814
wf0005,S6,591.913
wf0005,S7,605.987
wf0005,S8,605.519
wf0005,S9,607.63
wf0005,S10,594.913
wf0005,S11,603.905
wf0005,S12,606.707
wf0005,S13,590.406
wf0006,S1,597.527
wf0006,S2,595.26
wf0006,S3,575.831
wf0006,S4,596.708
wf0006,S5,596.286
wf0006,S6,595.679
wf0006,S7,610.437
wf0006,S8,589.529
wf0006,S9,582.342
wf0006,S10,577.149
wf0006,S11,584.161
wf0006,S12,590.3
wf0006,S13,590.609
wf0007,S1,612.456
wf0007,S2,632.118
wf0007,S3,620.474
wf0007,S4,611.593
wf0007,S5,606.358
wf0007,S6,614.359
wf0007,S7,609.673
wf0007,S8,605.254
wf0007,S9,605.902
wf0007,S10,619.046
wf0007,S11,597.921
wf0007,S12,609.186
wf0007,S13,608.025
wf0008,S1,607.669
wf0008,S2,597.071
wf0008,S3,597.944
wf0008,S4,594.119
wf0008,S5,593.337
wf0008,S6,596.99
wf0008,S7,590.315
wf0008,S8,576.415
wf0008,S9,605.145
wf0008,S10,584.537
wf0008,S11,582.265
wf0008,S12,599.337
wf0008,S13,588.619
wf0009,S1,570.723
wf0009,S2,576.957
wf0009,S3,569.975
wf0009,S4,576.453
wf0009,S5,558.868
wf0009,S6,559.257
wf0009,S7,572.417
wf0009,S8,561.107
wf0009,S9,573.544
wf0009,S10,575.78
wf0009,S11,584.165
wf0009,S12,571.908
wf0009,S13,581.519
wf0010,S1,685.534
wf0010,S2,660.34
wf0010,S3,662.872
wf0010,S4,643.051
wf0010,S5,681.028
wf0010,S6,643.323
wf0010,S7,628.732
wf0010,S8,666.356
wf0010,S9,618.593
wf0010,S10,648.352
wf0010,S11,649.179
wf0010,S12,642.441
wf0010,S13,638.588
wf0011,S1,640.667
wf0011,S2,588.979
wf0011,S3,597.001
wf0011,S4,626.959
wf0011,S5,668.485
wf0011,S6,668.188
wf0011,S7,689.669
wf0011,S8,627.603
wf0011,S9,638.009
wf0011,S10,613.505
wf0011,S11,641.028
wf0011,S12,598.869
wf0011,S13,619.504
wf0012,S1,585.474
wf0012,S2,585.076
wf0012,S3,580.967
wf0012,S4,578.463
wf0012,S5,601.159
wf0012,S6,596.28
wf0012,S7,596.08
wf0012,S8,603.649
wf0012,S9,590.194
wf0012,S10,598.541
wf0012,S11,592.974
wf0012,S12,605.128
wf0012,S13,589.313
wf0013,S1,604.491
wf0013,S2,619.985
wf0013,S3,612.159
wf0013,S4,592.693
wf0013,S5,600.64
wf0013,S6,607.692
wf0013,S7,617.796
wf0013,S8,597.361
wf0013,S9,613.149
wf0013,S10,589.971
wf0013,S11,588.691
wf0013,S12,613.099
wf0013,S13,601.04
wf0014,S1,605.238
wf0014,S2,613.966
wf0014,S3,604.796
wf0014,S4,620.409
wf0014,S5,601.585
wf0014,S6,606.458
wf0014,S7,608.594
wf0014,S8,611.231
wf0014,S9,606.553
wf0014,S10,616.443
wf0014,S11,609.364
wf0014,S12,598.194
wf0014,S13,614.786
wf0015,S1,633.026
wf0015,S2,632.57
wf0015,S3,634.927
wf0015,S4,624.837
wf0015,S5,630.931
wf0015,S6,626.75
wf0015,S7,647.47
wf0015,S8,635.526
wf0015,S9,631.653
wf0015,S10,627.882
wf0015,S11,642.39
wf0015,S12,623.27
wf0015,S13,627.365
wf0016,S1,556.698
wf0016,S2,548.825
wf0016,S3,553.865
wf0016,S4,546.814
wf0016,S5,568.607
wf0016,S6,568.179
wf0016,S7,552.702
wf0016,S8,565.927
wf0016,S9,566.738
wf0016,S10,563.002
wf0016,S11,558.377
wf0016,S12,557.117
wf0016,S13,557.267
wf0017,S1,602.783
wf0017,S2,603.42
wf0017,S3,607.388
wf0017,S4,594.319
wf0017,S5,595.064
wf0017,S6,592.108
wf0017,S7,601.31
wf0017,S8,603.534
wf0017,S9,601.593
wf0017,S10,589.883
wf0017,S11,578.695
wf0017,S12,609.54
wf0017,S13,589.694
wf0018,S1,612.866
wf0018,S2,627.152
wf0018,S3,623.057
wf0018,S4,615.955
wf0018,S5,615.387
wf0018,S6,612.457
wf0018,S7,605.805
wf0018,S8,619.021
wf0018,S9,615.747
wf0018,S10,615.213
wf0018,S11,612.754
wf0018,S12,624.144
wf0018,S13,621.017
wf0019,S1,588.339
