x1,x2,y,y_pred
0.125730,0.251341,-0.576483,0.816357
-0.132105,0.494857,-1.115444,0.238399
0.640423,-0.082147,-0.337994,1.843012
0.104900,-0.537182,1.207149,1.442562
-0.535669,0.436521,-0.467252,-0.300310
0.361595,-0.640197,0.650118,1.901881
1.304000,-0.356534,2.380910,3.037121
0.947081,0.310509,0.074805,1.962348
-0.703735,-1.125071,-0.554588,0.755282
-1.265421,0.193185,-0.878574,-1.159667
-0.623274,-0.290820,-0.582978,0.177782
0.041326,0.054640,1.987285,0.857301
-2.325031,-0.037851,-4.119629,-2.509283
-0.218792,0.101057,0.092791,0.440124
-1.245911,0.347086,-2.301996,-1.259411
-0.732267,-0.379185,-0.300924,0.092744
-0.544259,0.710491,-1.374911,-0.540914
-0.316300,0.363047,-1.222715,0.080097
0.411631,0.421866,-0.434740,1.090430
1.042513,0.582432,3.730749,1.874824
-0.128535,0.393794,-0.542331,0.327739
1.366463,0.422039,0.034078,2.479787
-0.665195,0.037797,-1.537746,-0.156825
0.351510,-0.713387,1.721836,1.948142
0.903470,-0.067523,1.038216,2.213630
0.094012,-0.384757,1.666239,1.299810
-0.743499,-0.711371,0.374543,0.352974
-0.921725,0.129226,-1.538570,-0.606259
-0.457726,-0.284275,-0.774803,0.413244
0.220195,-0.514902,-0.016597,1.591792
-1.009618,-0.521501,-1.586730,-0.192374
-0.209176,0.134209,-1.556931,0.426516
-0.159225,0.179336,0.769431,0.461633
0.540846,0.661229,1.774760,1.079177
0.214659,-0.006957,-0.586632,1.160826
0.355373,0.520920,-0.720627,0.926091
-0.653829,0.701132,-2.862634,-0.692572
-0.129614,0.575083,-1.275900,0.175229
0.783975,-1.182652,-0.303958,2.968184
1.493431,0.614342,1.009451,2.504445
-1.259066,0.169810,-0.672068,-1.130956
1.513924,0.211886,2.076778,2.869347
1.345875,0.185614,2.886125,2.646672
0.781311,0.191379,0.913815,1.820302
0.264456,0.159707,2.098235,1.094528
-0.313923,-0.179457,0.197973,0.535239
1.458021,-0.950818,3.003202,3.756051
1.960258,-0.054457,5.559072,3.740621
1.801635,-0.401866,3.180144,3.799037
1.315104,0.540082,0.962117,2.306766
0.357380,-0.144383,1.311482,1.482938
-1.208319,0.041738,-1.360710,-0.950476
-0.004454,-0.424803,1.788787,1.189860
0.656475,-0.255311,0.987123,2.010546
-1.288361,-0.005767,-0.628826,-1.027405
0.395122,-0.742688,2.561572,2.036003
0.429864,0.150343,0.642987,1.343032
0.696043,-0.053036,1.948661,1.899714
-1.184118,-0.592860,-1.245872,-0.386898
-0.661703,-1.199116,2.762938,0.878099
-0.436435,0.256526,-0.614642,-0.006039
-1.169802,-0.148792,-1.134138,-0.735792
1.739368,-0.265004,2.846062,3.594474
-0.495911,-0.118077,0.033139,0.219301
0.328970,0.908238,0.785869,0.565191
-0.258573,-0.024900,1.357436,0.487105
1.583473,0.043310,2.944679,3.110912
1.320361,-0.743536,3.592318,3.383144
0.633353,0.823670,0.315327,1.078549
-2.203510,0.458744,-3.092314,-2.745903
0.052029,0.533467,3.333550,0.474209
0.683686,0.023836,3.289607,1.817729
1.003962,0.458327,1.933070,1.922050
-0.617907,0.185473,-0.692429,-0.210965
1.822011,0.306595,3.241402,3.238832
-1.320431,-0.076096,-0.290257,-1.015517
-0.661528,-0.736944,1.341532,0.493553
0.935050,0.514427,2.141659,1.775060
0.049055,-0.967480,1.607696,1.719555
2.002393,-0.119968,6.234519,3.856480
0.188519,-0.102261,2.748520,1.202135
-0.633194,-0.521430,1.224912,0.355350
-0.377564,0.306562,1.154625,0.037973
-1.091146,-0.100165,0.226855,-0.661816
-1.277680,-0.218434,-1.922162,-0.834796
0.630411,0.259921,3.234919,1.543641
0.581166,-0.238290,2.637011,1.886782
1.294559,0.694490,3.106242,2.148309
-0.754606,0.175728,0.845286,-0.401778
1.689107,-0.237166,6.099636,3.498156
-0.287388,-0.972132,2.199329,1.233828
1.574408,-0.653877,4.609211,3.678191
-0.432786,0.543415,2.501713,-0.239590
-0.735483,-0.025302,2.700250,-0.206575
0.249785,-0.141563,2.917303,1.324014
1.031453,0.821626,4.717038,1.659578
0.161010,-0.641325,3.962686,1.610922
-0.585529,-0.292829,3.177197,0.234383
-1.341220,-0.236294,0.781921,-0.912391
-1.401520,0.293169,2.161376,-1.440967
