A,B,C,D,E,T,P,P_surrogate
10.088011,5.975939,2.800939,2.105049,1.927912,20.466798,19.432980,19.440659
9.907527,6.146400,2.815975,2.047631,2.116707,19.756498,19.656863,19.662787
10.448296,5.742497,2.518455,1.829919,1.712295,17.861237,19.150279,19.143208
10.073430,5.423972,3.218805,1.800490,2.423761,17.852845,18.516178,18.514931
9.625031,6.105565,3.241842,2.300565,1.731591,20.512411,19.703121,19.711879
10.253117,5.351862,2.857087,1.996907,2.183961,18.693734,18.639006,18.658012
10.912800,5.550426,3.049002,2.116656,1.775775,19.736664,19.811662,19.843350
10.662957,6.017356,2.612206,1.752875,2.230177,20.131472,19.858217,19.853354
9.507385,5.012451,2.858456,2.007563,1.923045,17.893626,18.047892,18.052373
9.114205,5.935229,3.413385,2.438824,2.031685,18.023997,18.497609,18.523841
9.563708,5.596426,3.040719,2.096849,2.010669,18.085042,18.097836,18.103557
10.028928,5.838248,3.693109,2.529577,2.220147,19.597878,19.590125,19.585997
8.372478,5.773504,2.763842,2.082260,1.935691,16.813004,17.953189,17.970186
9.846846,5.870740,3.174085,2.089216,1.406563,19.325098,19.385349,19.372309
9.127862,6.042960,2.941348,2.182562,1.847988,19.722412,18.830205,18.821412
9.487413,5.534571,3.169745,2.240039,2.036742,17.398075,18.097836,18.102288
9.619019,6.297344,2.997837,2.001969,1.911906,21.165295,20.117963,20.095694
9.778590,6.054133,2.831641,1.947351,2.153964,20.679979,19.595757,19.562066
10.288141,6.095306,2.739715,1.807401,2.203065,18.132816,19.446941,19.456160
10.729759,6.207702,3.919811,2.824875,1.970446,20.926504,20.387022,20.386228
9.910026,6.075656,2.976796,2.125506,1.702071,19.855470,19.611335,19.597473
10.956524,6.095428,2.395002,1.609686,2.276833,19.382009,19.550288,19.555313
9.534364,5.826458,2.805420,1.831528,2.216611,17.794028,17.912063,17.931928
10.246057,5.300629,3.203412,2.278594,1.940162,18.478706,18.639006,18.635436
10.632429,5.752734,2.849997,2.109885,2.421658,19.973796,19.755366,19.748106
10.065809,5.530670,3.408134,2.372033,1.930225,18.560713,18.977975,18.997579
9.479551,5.302040,3.300719,2.360706,1.772576,19.606505,18.147520,18.115450
9.354792,5.890458,2.954298,2.022886,1.968825,18.802679,18.497609,18.477253
9.679592,5.601008,2.858335,2.008943,2.215567,18.157382,18.746321,18.748109
10.154137,5.439568,2.698560,1.854038,1.812509,19.803553,18.996323,18.965156
9.293267,5.434950,2.790010,1.988292,2.390245,17.994261,18.097576,18.076282
9.853577,5.893946,2.558057,1.609467,1.820695,19.219653,19.220955,19.203223
9.888542,5.925535,3.361319,2.430226,2.190884,19.007215,19.385349,19.411289
10.378592,6.262860,3.477210,2.406455,2.108892,21.982498,20.299317,20.281086
10.150261,5.795130,2.623159,1.879244,1.969189,19.704208,19.202519,19.213614
10.248761,6.164644,2.645495,1.811009,2.216107,19.424330,19.554304,19.562514
9.542320,6.290793,2.469446,1.767056,1.700040,17.886801,18.385581,18.391736
9.909270,6.202558,2.710844,1.768883,2.271514,19.638939,19.741354,19.729897
10.548783,4.972144,2.068099,1.590368,1.987263,16.778956,17.996599,18.006940
11.045402,6.230039,2.657316,1.655696,1.891513,19.229262,19.657651,19.671507
9.118654,5.918867,3.389075,2.247644,2.149835,18.293893,18.497609,18.499579
11.059747,5.948320,2.896298,2.055689,2.211980,20.468198,20.184348,20.156598
10.942113,5.929930,3.256375,2.455004,2.153959,21.414477,20.184348,20.175120
10.546918,5.933965,2.853309,2.030692,2.399901,19.803597,19.565281,19.559507
10.185119,5.911795,3.528200,2.439991,2.216145,20.341331,19.590125,19.585997
9.780254,5.674380,3.059765,1.970825,2.256701,17.521807,18.746321,18.766217
11.020614,5.134428,2.885399,1.996826,1.892027,19.004516,19.402105,19.387034
11.372181,5.761880,3.765727,2.633624,2.021305,20.966461,20.169004,20.157545
11.261144,5.518694,2.902658,2.234729,2.112597,20.522344,19.918146,19.912172
10.920573,6.178057,2.633633,1.918198,1.996452,20.507759,20.179557,20.173550
10.250166,5.698932,3.060573,1.958910,2.060327,19.861601,19.263049,19.235488
9.154177,5.829216,2.988349,2.335058,2.085221,17.788726,18.195255,18.216796
9.996882,5.502638,3.319897,2.276527,2.168849,19.012847,18.977975,18.930364
10.459532,5.621282,2.723510,1.800922,1.979678,19.456197,18.996323,18.982460
9.098147,5.795963,3.241415,2.445969,1.930040,17.274851,18.195255,18.173623
10.276585,5.280119,3.255825,2.273106,1.834337,18.911859,18.639006,18.638763
10.300905,5.905240,2.799694,1.915697,1.821654,19.251417,19.382660,19.404341
10.487230,5.762875,3.048973,2.160536,2.234490,17.808927,19.263049,19.290663
9.171117,5.384998,2.750774,2.026929,1.983096,18.254294,17.905454,17.903678
9.536808,4.960618,3.703742,2.711820,2.157389,17.310134,18.097836,18.098034
9.694495,5.979568,2.788758,1.787106,1.740527,18.334279,19.024275,19.037706
9.181139,5.695846,2.864078,2.244672,1.612366,17.874640,18.097576,18.095574
11.217558,5.614497,2.680249,1.989797,1.790182,20.046245,19.918146,19.920577
9.652862,5.717346,2.896164,1.981810,2.229325,19.700394,18.960808,18.948773
10.230279,6.435767,2.998237,2.000527,2.213615,20.085209,20.133540,20.144971
9.818999,5.782570,3.230337,2.144954,2.066408,19.374822,19.082996,19.077992
11.108431,5.830317,2.816854,1.986603,1.839566,21.393217,20.184348,20.151580
10.924253,5.279524,2.944268,1.983226,1.973839,19.609818,19.402105,19.391194
10.443347,6.376569,2.575053,1.710752,1.940448,21.141150,20.091852,20.078329
8.457543,6.121121,2.751779,2.023596,1.931005,17.497282,18.475984,18.484245
10.036420,6.173427,3.826742,2.722468,1.498786,21.116803,20.001059,19.993671
10.478580,5.816685,3.312373,2.271313,1.828415,19.817031,19.263049,19.284397
10.702773,6.120829,2.765573,2.024011,1.961978,21.103458,20.179557,20.142296
9.567465,5.929831,2.598781,1.983232,2.303286,17.601752,17.962379,17.975331
11.275408,6.014616,2.707325,1.763788,2.032149,19.870372,19.858217,19.869728
9.075698,5.746732,2.993493,2.023050,2.280178,18.991095,18.195255,18.180524
9.536930,5.284139,3.010418,2.220407,1.921259,17.667872,18.097836,18.084048
10.654535,6.160099,2.776692,2.029957,1.949462,19.912047,19.967713,19.990062
