x1,x2,y,y_pred
0.125730,-0.132105,1.160626,0.289133
0.640423,0.104900,1.805200,0.813745
-0.535669,0.361595,-1.009627,-1.214034
1.304000,0.947081,-0.371116,0.932817
-0.703735,-1.265421,-0.191815,0.223998
-0.623274,0.041326,-1.814439,-1.012612
-2.325031,-0.218792,-4.877529,-3.290844
-1.245911,-0.732267,-0.998754,-1.141605
-0.544259,-0.316300,-1.188753,-0.522880
0.411631,1.042513,-1.349350,-0.502612
-0.128535,1.366463,-2.433274,-1.647940
-0.665195,0.351510,-0.983741,-1.397524
0.903470,0.094012,1.674535,1.218965
-0.743499,-0.921725,1.076835,-0.192488
-0.457726,0.220195,-0.878051,-0.950465
-1.009618,-0.209176,-0.201063,-1.331006
-0.159225,0.540846,0.870977,-0.836467
0.214659,0.355373,1.302873,-0.083958
-0.653829,-0.129614,-3.478886,-0.880840
0.783975,1.493431,1.332770,-0.413320
-1.259066,1.513924,-2.726155,-3.494047
1.345875,0.781311,1.859913,1.167682
0.264456,-0.313923,1.056172,0.685697
1.458021,1.960258,1.039857,0.111244
1.801635,1.315104,2.001725,1.295819
0.357380,-1.208319,1.107921,1.753711
-0.004454,0.656475,-2.623660,-0.724784
-1.288361,0.395122,-2.368446,-2.376006
0.429864,0.696043,-0.796144,-0.115487
-1.184118,-0.661703,-0.058635,-1.122354
-0.436435,-1.169802,-0.036455,0.524975
1.739368,-0.495911,3.097603,3.083372
0.328970,-0.258573,-0.234254,0.724824
1.583473,1.320361,0.757236,0.963663
0.633353,-2.203510,2.700150,3.200517
0.052029,0.683686,-2.102818,-0.668460
1.003962,-0.617907,2.331022,2.108802
1.822011,-1.320431,3.672682,4.063422
-0.661528,0.935050,-3.044624,-1.998058
0.049055,2.002393,-4.166388,-2.042434
0.188519,-0.633194,1.353691,0.903557
-0.377564,-1.091146,-0.020771,0.531449
-1.277680,0.630411,-3.003859,-2.604366
0.581166,1.294559,-0.423668,-0.510491
-0.754606,1.689107,-0.485071,-2.920555
-0.287388,1.574408,-1.745389,-2.101779
-0.432786,-0.735483,0.034489,0.079386
0.249785,1.031453,-2.086265,-0.733488
0.161010,-0.585529,2.522010,0.812859
-1.341220,-1.401520,0.118623,-0.589289
0.502683,0.989713,1.135882,-0.311427
-0.164295,-1.074365,0.665490,0.833390
0.873042,-1.280394,3.342199,2.600765
-0.713068,0.621018,-1.158375,-1.749106
-2.250141,0.386370,-3.009799,-3.807177
-0.581641,0.109280,-1.127297,-1.020838
-0.075702,0.202114,-1.896521,-0.359608
0.694172,-0.758370,2.779693,1.790768
1.420982,0.726094,-0.577858,1.337499
0.843733,1.164864,0.069777,0.017394
