x1,x2,x3,x4,y,y_pred
0.125730,0.251341,0.233483,-0.211983,-0.576483,0.188633
-0.132105,0.494857,-0.055187,-0.288046,-1.115444,-0.892568
0.640423,-0.082147,0.632214,-0.086349,-0.337994,0.480093
0.104900,-0.537182,-0.282817,0.587908,1.207149,1.174849
-0.535669,0.436521,-0.456039,-0.439769,-0.467252,-0.557034
0.361595,-0.640197,0.322891,0.540119,0.650118,1.093184
1.304000,-0.356534,1.158895,0.137462,2.380910,2.531446
0.947081,0.310509,0.789315,-0.102268,0.074805,0.127927
-0.703735,-1.125071,-0.627825,0.749072,-0.554588,-0.362981
-1.265421,0.193185,-1.097668,-0.119387,-0.878574,-0.974100
-0.623274,-0.290820,-0.587326,0.208909,-0.582978,-0.171493
0.041326,0.054640,-0.009139,0.071826,1.987285,1.374243
-2.325031,-0.037851,-1.969552,-0.005659,-4.119629,-3.836110
-0.218792,0.101057,-0.307449,-0.367458,0.092791,-0.030189
-1.245911,0.347086,-1.018304,-0.318966,-2.301996,-2.059034
-0.732267,-0.379185,-0.641359,0.283801,-0.300924,-0.095520
-0.544259,0.710491,-0.570264,-0.541391,-1.374911,-1.242028
-0.316300,0.363047,-0.313668,-0.177151,-1.222715,-1.066200
0.411631,0.421866,0.278468,-0.193774,-0.434740,-0.343006
1.042513,0.582432,1.005768,-0.422480,3.730749,3.193042
-0.128535,0.393794,-0.080891,-0.424620,-0.542331,-0.077995
1.366463,0.422039,1.174138,-0.157011,0.034078,0.242418
-0.665195,0.037797,-0.708897,0.081848,-1.537746,-0.776719
0.351510,-0.713387,0.346531,0.469452,1.721836,2.096469
0.903470,-0.067523,0.908862,0.258095,1.038216,1.437471
0.094012,-0.384757,0.073227,0.234443,1.666239,1.524458
-0.743499,-0.711371,-0.627314,0.384248,0.374543,0.468900
-0.921725,0.129226,-0.867156,-0.106046,-1.538570,-1.233650
-0.457726,-0.284275,-0.405196,0.306776,-0.774803,-0.165943
0.220195,-0.514902,0.169047,0.266686,-0.016597,0.906438
-1.009618,-0.521501,-0.879252,0.560173,-1.586730,-1.112751
-0.209176,0.134209,-0.339235,-0.183599,-1.556931,-0.784516
-0.159225,0.179336,-0.078883,-0.030093,0.769431,0.277572
0.540846,0.661229,0.463768,-0.408414,1.774760,1.600668
0.214659,-0.006957,0.229054,-0.010536,-0.586632,0.566779
0.355373,0.520920,0.285804,-0.256591,-0.720627,-0.386030
-0.653829,0.701132,-0.556410,-0.640773,-2.862634,-2.607644
-0.129614,0.575083,-0.223909,-0.266801,-1.275900,-0.856881
0.783975,-1.182652,0.824493,0.821488,-0.303958,0.068361
1.493431,0.614342,1.173734,-0.484283,1.009451,1.345523
-1.259066,0.169810,-1.237083,-0.043950,-0.672068,-0.871829
1.513924,0.211886,1.386098,-0.042330,2.076778,2.264826
1.345875,0.185614,1.357572,-0.052950,2.886125,2.599048
0.781311,0.191379,0.730993,0.065985,0.913815,1.409233
0.264456,0.159707,0.213219,-0.003722,2.098235,1.294094
-0.313923,-0.179457,-0.425040,0.253970,0.197973,0.536112
1.458021,-0.950818,1.293091,0.611586,3.003202,3.133753
1.960258,-0.054457,1.762245,0.048773,5.559072,5.446597
1.801635,-0.401866,1.790528,0.337604,3.180144,3.344808
1.315104,0.540082,1.245806,-0.379831,0.962117,1.315413
0.357380,-0.144383,0.168733,0.131232,1.311482,1.542701
-1.208319,0.041738,-0.884809,0.013394,-1.360710,-0.972259
-0.004454,-0.424803,-0.043510,0.381786,1.788787,1.506518
0.656475,-0.255311,0.502881,0.168557,0.987123,1.366808
-1.288361,-0.005767,-1.012043,-0.030943,-0.628826,-0.641066
0.395122,-0.742688,0.350634,0.437050,2.561572,2.096469
0.429864,0.150343,0.350137,-0.194413,0.642987,0.608132
0.696043,-0.053036,0.648317,0.154370,1.948661,1.698636
-1.184118,-0.592860,-0.981217,0.406550,-1.245872,-1.092344
-0.661703,-1.199116,-0.496199,0.918076,2.762938,2.488169
-0.436435,0.256526,-0.530312,-0.309305,-0.614642,-0.523882
-1.169802,-0.148792,-0.852974,-0.089662,-1.134138,-1.098662
1.739368,-0.265004,1.660117,0.080594,2.846062,2.960509
-0.495911,-0.118077,-0.484240,0.197317,0.033139,0.448924
0.328970,0.908238,0.214207,-0.528959,0.785869,0.748753
-0.258573,-0.024900,-0.329617,0.050634,1.357436,1.018324
1.583473,0.043310,1.437463,-0.110534,2.944679,2.827649
1.320361,-0.743536,1.123523,0.507395,3.592318,3.365301
0.633353,0.823670,0.493530,-0.606345,0.315327,0.743769
-2.203510,0.458744,-1.902033,-0.355618,-3.092314,-3.046042
0.052029,0.533467,0.083283,-0.624034,3.333550,2.800354
0.683686,0.023836,0.575860,-0.102478,3.289607,2.393915
1.003962,0.458327,0.976990,-0.339840,1.933070,1.968405
-0.617907,0.185473,-0.419378,0.021811,-0.692429,-0.377718
1.822011,0.306595,1.530361,-0.198542,3.241402,3.073468
-1.320431,-0.076096,-1.248717,0.193356,-0.290257,-0.371989
-0.661528,-0.736944,-0.501113,0.476490,1.341532,1.116834
0.935050,0.514427,0.913439,-0.385368,2.141659,1.968405
0.049055,-0.967480,0.066819,0.287294,1.607696,1.915582
2.002393,-0.119968,1.918395,0.130311,6.234519,6.157152
0.188519,-0.102261,0.060846,0.126292,2.748520,1.815338
-0.633194,-0.521430,-0.717788,0.541377,1.224912,0.837958
-0.377564,0.306562,-0.426458,-0.263269,1.154625,0.805683
-1.091146,-0.100165,-0.969777,0.079531,0.226855,-0.437589
-1.277680,-0.218434,-1.229521,0.082351,-1.922162,-1.389645
0.630411,0.259921,0.518649,-0.299570,3.234919,2.718723
0.581166,-0.238290,0.425549,0.095492,2.637011,2.052960
1.294559,0.694490,1.103060,-0.520643,3.106242,3.068789
-0.754606,0.175728,-0.779624,0.012535,0.845286,0.602660
1.689107,-0.237166,1.556943,0.166238,6.099636,5.762846
-0.287388,-0.972132,-0.179160,0.601438,2.199329,1.811706
